date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2022-10-10 00:00:00,21.5,17.7,25,0.1,,,6.8,,1020.6,
2022-10-11 00:00:00,22.1,18,26,0.2,,,6.9,,1018.1,
2022-10-12 00:00:00,25,18,34,0,,,7.4,,1015.6,
2022-10-13 00:00:00,26,19,33,0,,,7.7,,1014.9,
2022-10-14 00:00:00,24.8,17.9,31,0,,,8.5,,1014.7,
2022-10-15 00:00:00,25.2,21.4,30,0,,,8.3,,1015,
2022-10-16 00:00:00,25.3,20.9,30,0.3,,,8.5,,1013.2,
2022-10-17 00:00:00,23.9,19,30,9.2,,,12,,1014.6,
2022-10-18 00:00:00,14.7,12,19.7,4.1,,,11,,1023.7,
2022-10-19 00:00:00,16.2,12.8,21,0,,,6.4,,1026.4,
2022-10-20 00:00:00,17.5,9,26,0,,,5.9,,1020.7,
2022-10-21 00:00:00,20.1,10,29,0,,,6.3,,1016.7,
2022-10-22 00:00:00,21.5,12.4,30,0,,,7.7,,1013.2,
2022-10-23 00:00:00,21.6,16.2,27,0.8,,,8.7,,1010.8,
2022-10-24 00:00:00,25.5,18.7,34,0,,,8.5,,1009.1,
2022-10-25 00:00:00,21.4,16.2,26,0,,,9.9,,1017.2,
2022-10-26 00:00:00,19.1,11.5,25,0,,,8.1,,1016.1,
2022-10-27 00:00:00,20.6,16.6,27,0,,,7.2,,1012.8,
2022-10-28 00:00:00,21.7,16.1,27,0,,,12.5,,1016,
2022-10-29 00:00:00,17.7,10,26,0,,,6.5,,1020.8,
2022-10-30 00:00:00,18.4,11.6,25,0,,,6.3,,1016.7,
2022-10-31 00:00:00,17.7,12.9,21,2.7,,,7.1,,1014.9,
2022-11-01 00:00:00,20.3,17.6,23.7,5.7,,,8.8,,1018.8,
2022-11-02 00:00:00,20,16.9,27,2.8,,,6.2,,1021,
2022-11-03 00:00:00,22.5,18.4,27,0.1,,,7.5,,1016,
2022-11-04 00:00:00,25,18.5,32,0,,,9.3,,1010.5,
2022-11-05 00:00:00,21.5,16,27,0,,,8.5,,1014.3,
2022-11-06 00:00:00,20.7,10.9,30,0,,,6.6,,1013.5,
2022-11-07 00:00:00,23.6,16.6,30,0.8,,,8.5,,1018,
2022-11-08 00:00:00,23.5,20.3,29,0.4,,,8,,1020.3,
2022-11-09 00:00:00,22.8,19.6,27,0.9,,,6.8,,1018.2,
2022-11-10 00:00:00,23,19.2,28,0,,,7,,1012,
2022-11-11 00:00:00,23.8,17.6,33,0,,,10.8,,1010,
2022-11-12 00:00:00,14.9,11,18.5,0.2,,,11,,1022.8,
2022-11-13 00:00:00,12.4,6,18,0,,,6.7,,1021,
2022-11-14 00:00:00,17.6,9,28,0,,,8.8,,1014,
2022-11-15 00:00:00,15.2,11.8,19,0,,,10.4,,1023.7,
2022-11-16 00:00:00,10.4,9,13.1,0,,,8.7,,1028,
2022-11-17 00:00:00,9.3,6,11,0,,,7.1,,1029,
2022-11-18 00:00:00,10.3,8,12,3.4,,,6.6,,1023.3,
2022-11-19 00:00:00,9,7,12.3,4.6,,,13.4,,1025.2,
2022-11-20 00:00:00,6.9,6,9.1,0.8,,,9.5,,1028.4,
2022-11-21 00:00:00,8.7,6,11,0.1,,,6.5,,1026.7,
2022-11-22 00:00:00,12.3,9,16,0,,,6.4,,1024.5,
2022-11-23 00:00:00,14.2,11.8,17,0,,,4.5,,1018.2,
2022-11-24 00:00:00,18.3,14.4,26,0,,,7.9,,1012.4,
2022-11-25 00:00:00,15.1,12,18.7,1,,,12.8,,1017.4,
2022-11-26 00:00:00,14.2,10,21,0,,,10.2,,1016.8,
2022-11-27 00:00:00,17.8,7.4,31,0,,,9,,1014.1,
2022-11-28 00:00:00,18,9,25,0,,,6.6,,1013.8,
2022-11-29 00:00:00,21.9,14.6,33,0,,,8.2,,1010.5,
2022-11-30 00:00:00,15,12,18,0.1,,,12.1,,1021.2,
2022-12-01 00:00:00,12.1,10,14.2,0,,,6.6,,1024.1,
2022-12-02 00:00:00,16.1,12,22,0,,,6.8,,1020.7,
2022-12-03 00:00:00,17.7,14.8,20,0.3,,,6.3,,1024.9,
2022-12-04 00:00:00,18.2,16.4,20,4,,,5.8,,1022.3,
2022-12-05 00:00:00,20.5,18,25,0,,,7.7,,1014.7,
2022-12-06 00:00:00,19.9,15,27,0,,,8.8,,1014.5,
2022-12-07 00:00:00,20.4,18,25,2.1,,,6.9,,1019.7,
2022-12-08 00:00:00,20.5,16.5,26,0,,,7.9,,1020.1,
2022-12-09 00:00:00,19.7,16.7,24,0.4,,,8.4,,1018.1,
2022-12-10 00:00:00,20.3,17,26,0.4,,,9.6,,1016.1,
2022-12-11 00:00:00,20.3,15.7,25,0,,,7.4,,1017.1,
2022-12-12 00:00:00,19.3,15,25.5,0,,,7.7,,1012.3,
2022-12-13 00:00:00,21.6,14,31,0,,,10.5,,1006.3,
2022-12-14 00:00:00,17,11,22,0,,,10.2,,1011.7,
2022-12-15 00:00:00,14.8,6,22,0,,,6.2,,1015.8,
2022-12-16 00:00:00,15.9,8,24,0,,,7.4,,1015.6,
2022-12-17 00:00:00,12.2,9,14.6,0,,,11.3,,1021.3,
2022-12-18 00:00:00,8.9,7.3,10.2,0,,,6.8,,1021.5,
2022-12-19 00:00:00,13.7,10.4,20,0,,,8.3,,1018.9,
2022-12-20 00:00:00,15.5,9,24,0,,,7.2,,1024.8,
2022-12-21 00:00:00,11,10,12,0.3,,,8.8,,1021.6,
2022-12-22 00:00:00,15.9,7,27,0,,,10.2,,1016.7,
2022-12-23 00:00:00,1.7,-2,9.6,0,,,12.1,,1034.1,
2022-12-24 00:00:00,1.7,-1.8,7,0,,,7.6,,1033.4,
2022-12-25 00:00:00,4.5,-4,13,0,,,7,,1029.1,
2022-12-26 00:00:00,11.3,1,24,0,,,6.8,,1023.8,
2022-12-27 00:00:00,11.8,3.5,20,0,,,6.6,,1024.3,
2022-12-28 00:00:00,17.2,5,30,0,,,8.7,,1013.4,
2022-12-29 00:00:00,20.4,10.4,28,0,,,14.1,,1013.2,
2022-12-30 00:00:00,17.9,10.6,26,0,,,7.6,,1015.3,
2022-12-31 00:00:00,17.9,9.4,26,0,,,6.5,,1016.1,
2023-01-01 00:00:00,21.3,11.1,33,0,,,9.6,,1012.8,
2023-01-02 00:00:00,21.6,13.7,32,0,,,11.7,,1009.3,
2023-01-03 00:00:00,20.2,13.5,29,0,,,13,,1012.8,
2023-01-04 00:00:00,18.5,9.4,26,0,,,7,,1019.6,
2023-01-05 00:00:00,18,8,27,0,,,6.9,,1023.1,
2023-01-06 00:00:00,18.7,10.5,26,0,,,8.2,,1020.7,
2023-01-07 00:00:00,20.1,12.7,28,0,,,9,,1018.9,
2023-01-08 00:00:00,19.2,14.9,24,0,,,7.9,,1022.9,
2023-01-09 00:00:00,18.1,12.7,23,0.2,,,6,,1022,
2023-01-10 00:00:00,19.7,11.3,30,0,,,8.1,,1019.1,
2023-01-11 00:00:00,21.3,11,32,0,,,9.2,,1014.8,
2023-01-12 00:00:00,18.6,13,24,0,,,16.7,,1023.6,
2023-01-13 00:00:00,12.8,7,20,0,,,6.9,,1029.4,
